Source,CH1,CH2
-1.096000E-01,+0.000000E+00,+5.440000E+00
-1.095960E-01,+0.000000E+00,+5.360000E+00
-1.095920E-01,+0.000000E+00,+5.360000E+00
-1.095880E-01,+8.000000E-02,+5.360000E+00
-1.095840E-01,+0.000000E+00,+5.360000E+00
-1.095800E-01,+0.000000E+00,+5.440000E+00
-1.095760E-01,+8.000000E-02,+5.360000E+00
-1.095720E-01,+0.000000E+00,+5.360000E+00
-1.095680E-01,+0.000000E+00,+5.360000E+00
-1.095640E-01,+8.000000E-02,+5.440000E+00
-1.095600E-01,+1.600000E-01,+5.440000E+00
-1.095560E-01,+0.000000E+00,+5.440000E+00
-1.095520E-01,+0.000000E+00,+5.360000E+00
-1.095480E-01,-8.000000E-02,+5.360000E+00
-1.095440E-01,+8.000000E-02,+5.440000E+00
-1.095400E-01,+0.000000E+00,+5.440000E+00
-1.095360E-01,+0.000000E+00,+5.360000E+00
-1.095320E-01,+0.000000E+00,+5.520000E+00
-1.095280E-01,+0.000000E+00,+5.360000E+00
-1.095240E-01,+0.000000E+00,+5.360000E+00
-1.095200E-01,+0.000000E+00,+5.360000E+00
-1.095160E-01,+8.000000E-02,+5.440000E+00
-1.095120E-01,+0.000000E+00,+5.440000E+00
-1.095080E-01,+0.000000E+00,+5.440000E+00
-1.095040E-01,+0.000000E+00,+5.360000E+00
-1.095000E-01,+0.000000E+00,+5.360000E+00
-1.094960E-01,-8.000000E-02,+5.440000E+00
-1.094920E-01,+0.000000E+00,+5.440000E+00
-1.094880E-01,+0.000000E+00,+5.440000E+00
-1.094840E-01,+0.000000E+00,+5.360000E+00
-1.094800E-01,+8.000000E-02,+5.360000E+00
-1.094760E-01,+1.600000E-01,+5.360000E+00
-1.094720E-01,+0.000000E+00,+5.360000E+00
-1.094680E-01,+8.000000E-02,+5.360000E+00
-1.094640E-01,-8.000000E-02,+5.440000E+00
-1.094600E-01,+0.000000E+00,+5.360000E+00
-1.094560E-01,+8.000000E-02,+5.440000E+00
-1.094520E-01,+8.000000E-02,+5.440000E+00
-1.094480E-01,+8.000000E-02,+5.360000E+00
-1.094440E-01,+0.000000E+00,+5.360000E+00
-1.094400E-01,+0.000000E+00,+5.360000E+00
-1.094360E-01,+1.600000E-01,+5.360000E+00
-1.094320E-01,+8.000000E-02,+5.440000E+00
-1.094280E-01,+0.000000E+00,+5.440000E+00
-1.094240E-01,+0.000000E+00,+5.360000E+00
-1.094200E-01,+0.000000E+00,+5.360000E+00
-1.094160E-01,+1.600000E-01,+5.360000E+00
-1.094120E-01,+0.000000E+00,+5.360000E+00
-1.094080E-01,+8.000000E-02,+5.360000E+00
-1.094040E-01,+8.000000E-02,+5.280000E+00
-1.094000E-01,+8.000000E-02,+5.360000E+00
-1.093960E-01,+0.000000E+00,+5.360000E+00
-1.093920E-01,+8.000000E-02,+5.440000E+00
-1.093880E-01,+0.000000E+00,+5.440000E+00
-1.093840E-01,+8.000000E-02,+5.360000E+00
-1.093800E-01,+0.000000E+00,+5.360000E+00
-1.093760E-01,+8.000000E-02,+5.360000E+00
-1.093720E-01,+0.000000E+00,+5.360000E+00
-1.093680E-01,+8.000000E-02,+5.360000E+00
-1.093640E-01,+8.000000E-02,+5.360000E+00
-1.093600E-01,-8.000000E-02,+5.360000E+00
-1.093560E-01,+0.000000E+00,+5.360000E+00
-1.093520E-01,+8.000000E-02,+5.360000E+00
-1.093480E-01,-8.000000E-02,+5.360000E+00
-1.093440E-01,+8.000000E-02,+5.360000E+00
-1.093400E-01,+0.000000E+00,+5.360000E+00
-1.093360E-01,+0.000000E+00,+5.360000E+00
-1.093320E-01,+0.000000E+00,+5.360000E+00
-1.093280E-01,+0.000000E+00,+5.440000E+00
-1.093240E-01,+8.000000E-02,+5.440000E+00
-1.093200E-01,+8.000000E-02,+5.360000E+00
-1.093160E-01,+8.000000E-02,+5.360000E+00
-1.093120E-01,+0.000000E+00,+5.360000E+00
-1.093080E-01,+0.000000E+00,+5.360000E+00
-1.093040E-01,+0.000000E+00,+5.440000E+00
-1.093000E-01,+0.000000E+00,+5.440000E+00
-1.092960E-01,+0.000000E+00,+5.280000E+00
-1.092920E-01,+8.000000E-02,+5.360000E+00
-1.092880E-01,+8.000000E-02,+5.360000E+00
-1.092840E-01,+0.000000E+00,+5.360000E+00
-1.092800E-01,+0.000000E+00,+5.360000E+00
-1.092760E-01,-8.000000E-02,+5.360000E+00
-1.092720E-01,+0.000000E+00,+5.360000E+00
-1.092680E-01,+0.000000E+00,+5.360000E+00
-1.092640E-01,+0.000000E+00,+5.360000E+00
-1.092600E-01,+0.000000E+00,+5.360000E+00
-1.092560E-01,+8.000000E-02,+5.360000E+00
-1.092520E-01,+8.000000E-02,+5.440000E+00
-1.092480E-01,+0.000000E+00,+5.360000E+00
-1.092440E-01,+0.000000E+00,+5.360000E+00
-1.092400E-01,+0.000000E+00,+5.360000E+00
-1.092360E-01,+0.000000E+00,+5.360000E+00
-1.092320E-01,+8.000000E-02,+5.360000E+00
-1.092280E-01,+0.000000E+00,+5.360000E+00
-1.092240E-01,+8.000000E-02,+5.360000E+00
-1.092200E-01,+0.000000E+00,+5.440000E+00
-1.092160E-01,+0.000000E+00,+5.360000E+00
-1.092120E-01,+8.000000E-02,+5.360000E+00
-1.092080E-01,+0.000000E+00,+5.440000E+00
-1.092040E-01,+0.000000E+00,+5.360000E+00
-1.092000E-01,+8.000000E-02,+5.360000E+00
-1.091960E-01,+8.000000E-02,+5.360000E+00
-1.091920E-01,+0.000000E+00,+5.360000E+00
-1.091880E-01,+0.000000E+00,+5.440000E+00
-1.091840E-01,+0.000000E+00,+5.360000E+00
-1.091800E-01,+0.000000E+00,+5.360000E+00
-1.091760E-01,+8.000000E-02,+5.360000E+00
-1.091720E-01,+0.000000E+00,+5.360000E+00
-1.091680E-01,+0.000000E+00,+5.360000E+00
-1.091640E-01,+8.000000E-02,+5.360000E+00
-1.091600E-01,+8.000000E-02,+5.360000E+00
-1.091560E-01,+0.000000E+00,+5.440000E+00
-1.091520E-01,+8.000000E-02,+5.440000E+00
-1.091480E-01,+0.000000E+00,+5.360000E+00
-1.091440E-01,+0.000000E+00,+5.440000E+00
-1.091400E-01,+0.000000E+00,+5.360000E+00
-1.091360E-01,+0.000000E+00,+5.280000E+00
-1.091320E-01,+0.000000E+00,+5.280000E+00
-1.091280E-01,+8.000000E-02,+5.360000E+00
-1.091240E-01,+0.000000E+00,+5.360000E+00
-1.091200E-01,+0.000000E+00,+5.360000E+00
-1.091160E-01,+0.000000E+00,+5.360000E+00
-1.091120E-01,+0.000000E+00,+5.280000E+00
-1.091080E-01,+8.000000E-02,+5.360000E+00
-1.091040E-01,+0.000000E+00,+5.360000E+00
-1.091000E-01,+0.000000E+00,+5.360000E+00
-1.090960E-01,+8.000000E-02,+5.360000E+00
-1.090920E-01,+8.000000E-02,+5.360000E+00
-1.090880E-01,+0.000000E+00,+5.360000E+00
-1.090840E-01,-8.000000E-02,+5.360000E+00
-1.090800E-01,+0.000000E+00,+5.360000E+00
-1.090760E-01,+8.000000E-02,+5.280000E+00
-1.090720E-01,+0.000000E+00,+5.360000E+00
-1.090680E-01,+0.000000E+00,+5.360000E+00
-1.090640E-01,+8.000000E-02,+5.360000E+00
-1.090600E-01,+0.000000E+00,+5.360000E+00
-1.090560E-01,+0.000000E+00,+5.360000E+00
-1.090520E-01,+0.000000E+00,+5.360000E+00
-1.090480E-01,+0.000000E+00,+5.360000E+00
-1.090440E-01,+8.000000E-02,+5.360000E+00
-1.090400E-01,+0.000000E+00,+5.360000E+00
-1.090360E-01,+0.000000E+00,+5.440000E+00
-1.090320E-01,+0.000000E+00,+5.360000E+00
-1.090280E-01,+0.000000E+00,+5.360000E+00
-1.090240E-01,+8.000000E-02,+5.360000E+00
-1.090200E-01,+8.000000E-02,+5.360000E+00
-1.090160E-01,+8.000000E-02,+5.360000E+00
-1.090120E-01,+8.000000E-02,+5.360000E+00
-1.090080E-01,+8.000000E-02,+5.360000E+00
-1.090040E-01,+0.000000E+00,+5.360000E+00
-1.090000E-01,+8.000000E-02,+5.360000E+00
-1.089960E-01,+1.600000E-01,+5.360000E+00
-1.089920E-01,+0.000000E+00,+5.360000E+00
-1.089880E-01,+0.000000E+00,+5.360000E+00
-1.089840E-01,+0.000000E+00,+5.360000E+00
-1.089800E-01,+8.000000E-02,+5.360000E+00
-1.089760E-01,+0.000000E+00,+5.360000E+00
-1.089720E-01,+8.000000E-02,+5.360000E+00
-1.089680E-01,+8.000000E-02,+5.440000E+00
-1.089640E-01,+1.600000E-01,+5.360000E+00
-1.089600E-01,+8.000000E-02,+5.360000E+00
-1.089560E-01,+0.000000E+00,+5.360000E+00
-1.089520E-01,-8.000000E-02,+5.360000E+00
-1.089480E-01,+0.000000E+00,+5.360000E+00
-1.089440E-01,+8.000000E-02,+5.360000E+00
-1.089400E-01,+0.000000E+00,+5.280000E+00
-1.089360E-01,+8.000000E-02,+5.280000E+00
-1.089320E-01,+8.000000E-02,+5.360000E+00
-1.089280E-01,+8.000000E-02,+5.360000E+00
-1.089240E-01,+0.000000E+00,+5.280000E+00
-1.089200E-01,+0.000000E+00,+5.280000E+00
-1.089160E-01,+0.000000E+00,+5.360000E+00
-1.089120E-01,+0.000000E+00,+5.360000E+00
-1.089080E-01,+8.000000E-02,+5.360000E+00
-1.089040E-01,+8.000000E-02,+5.360000E+00
-1.089000E-01,+0.000000E+00,+5.360000E+00
